LOC_ID,LOC_NAME,AUSPICE,STR_NO,STREET,UNIT,PCODE,ward,PHONE,bldg_type,bldgname,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,SUBSIDY,GC_GEOID,EASTING,NORTHING,run_date
1013,Lakeshore Community Child Care Centre,Non Profit Agency,99,SEVENTH ST,,M8V 3B5,6,(416) 394-7601,Public Elementary School,Seventh Street Public School,0,20,32,40,60,152,Y,1031242,620680.98,4828301.47,22OCT13
1014,Alternative Primary School Parent Group,Non Profit Agency,1100,SPADINA RD,,M5N 2M6,16,(416) 322-5385,Public Elementary School,North Preparatory Public School,0,0,36,0,45,81,Y,870542,627257.62,4840152.46,22OCT13
1015,Cardinal Leger Child Care Centre,Non Profit Agency,600,MORRISH RD,,M1C 4Y1,44,(416) 287-0578,Catholic Elementary School,Cardinal Leger Catholic School,0,10,16,20,35,81,Y,365821,646757.25,4850287.63,22OCT13
1016,Richmond Adelaide Child Care Centre,Non Profit Agency,130,ADELAIDE ST W,MEZZANINE LEVEL,M5H 3P5,28,(416) 415-2453,Other,,10,15,36,0,0,61,Y,10222910,630325.27,4834011.8,22OCT13
1021,Centennial College Progress Campus Child Care Centre,Non Profit Agency,941,PROGRESS AVE,,M1G 3T8,38,(416) 289-5000x2110,Community College/University,Centennial College Of Applied Arts & Technology,10,15,32,0,0,57,Y,13503978,642647.13,4849328.2,22OCT13
1029,Air-O-Down Child Care Centre,Non Profit Agency,7,HAWKSDALE RD,,M3K 1W3,9,(416) 633-2014,Public High School,Downsview Secondary School,10,15,24,0,0,49,Y,525550,622431.2,4842830.1,22OCT13
1031,Cedarbrae Day Nurseries (Greencrest),Commercial Agency,20,GREENCREST CIRCT,,M1G 1B8,43,(416) 431-2504,High Rise Apartment,Greencrest Property,0,0,16,12,18,46,Y,340155,643000.71,4846346.36,22OCT13
1036,A B C  Day Nursery,Commercial Agency,145,MARLEE AVE,,M6B 3H3,15,(416) 789-5011,High Rise Apartment,,10,15,16,20,25,86,Y,67882,625599.09,4839873.5,22OCT13
1037,Tiago Avenue Community Child Care,Non Profit Agency,145,TIAGO AVE,,M4B 2A6,31,(416) 285-5644,Public Elementary School,Victoria Park Public School,0,0,21,0,20,41,Y,3259557,637089.72,4841147.67,22OCT13
1041,Ledbury Park Child Care Program,Non Profit Agency,95,FALKIRK ST,,M5M 4K1,16,(416) 782-2539,Public Elementary School,Ledbury Park Public School,0,0,24,20,45,89,Y,7110840,626652.5,4842575,22OCT13
