State,Pop_IndAm,Pop_AmInd,Tot_Pop
Alaska,1218,104871,710231
Alabama,13036,28218,4779736
Arkansas,7973,22248,2915918
Arizona,36047,296529,6392017
California,528176,362801,37253956
Colorado,20369,56010,5029196
Connecticut,46415,11256,3574097
District of Columbia,5214,2079,601723
Delaware,11424,4181,897934
Florida,128735,71458,18801310
Georgia,96116,32151,9687653
Hawaii,2201,4164,1360301
Iowa,11081,11084,3046355
Idaho,2152,21441,1567582
Illinois,188328,43963,12830632
Indiana,27598,18462,6483802
Kansas,13848,28150,2853118
Kentucky,12501,10120,4339367
Louisiana,11174,30579,4533372
Massachusetts,77177,18850,6547629
Maryland,79051,20420,5773552
Maine,1959,8568,1328361
Michigan,77132,62007,9883640
Minnesota,33031,60916,5303925
Missouri,23223,27376,5988927
Mississippi,5494,15030,2967297
Montana,618,62555,989415
North Carolina,57400,122110,9535483
North Dakota,1543,36591,672591
Nebraska,5903,18427,1826341
New Hampshire,8268,3150,1316470
New Jersey,292256,29026,8791894
New Mexico,4550,193222,2059179
Nevada,11671,32062,2700551
New York,313620,106906,19378102
Ohio,64187,25292,11536504
Oklahoma,11906,321687,3751351
Oregon,16740,53203,3831074
Pennsylvania,103026,26843,12702379
Rhode Island,4653,6058,1052567
South Carolina,15941,19524,4625364
South Dakota,1152,71817,814180
Tennessee,23900,19994,6346105
Texas,245981,170972,25145561
Utah,6212,32927,2763885
Virginia,103916,29225,8001024
Vermont,1359,2207,625741
Washington,61124,103869,6724540
Wisconsin,22899,54526,5686986
West Virginia,3304,3787,1852994
Wyoming,589,13336,563626
