"Vote","PID3","georgeWBush","barackObama","johnMcCain","cindyMcCain","michelleObama","joeBiden","sarahPalin","hispanics","christianFundamentalists","catholics","feminists","federalGovernment","jews","liberals","middleClassPeople","laborUnions","poorPeople","theMilitary","bigBusiness","peopleOnWelfare","conservatives","workingClassPeople","environmentalists","theUSSupremeCourt","gayMenAndLesbians","asianAmericans","congress","blacks","southerners","illegalImmigrants","richPeople","whites","israel","muslims","hindus","christians","athiests","hillaryClinton","billClinton","condoleezaRice","rushLimbaugh","republicanParty","democraticParty"
"McCain","Other",85,0,70,50,30,0,70,50,15,50,40,30,50,15,50,15,50,100,50,30,40,70,40,60,50,50,15,50,50,0,50,50,60,50,50,50,50,20,20,95,52,60,40
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,50,40,15,70
"McCain","Republican",85,60,60,70,85,60,70,100,85,100,50,70,100,50,100,40,100,100,70,100,85,100,60,70,100,100,85,100,100,100,100,100,100,50,100,100,50,40,40,100,50,60,30
NA,NA,15,40,60,NA,NA,NA,70,50,60,75,70,60,50,50,85,50,50,70,70,0,60,85,85,50,50,70,50,60,85,0,60,85,60,60,NA,70,50,70,50,70,NA,70,85
"McCain","Republican",70,40,70,70,50,60,70,50,70,60,50,40,60,30,60,40,50,100,60,30,85,70,40,70,0,60,40,40,70,15,60,85,85,15,50,100,0,40,30,70,70,70,30
NA,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,70,40,100,15
"McCain","Other",85,50,85,50,50,50,70,50,70,50,40,40,60,50,50,40,50,85,50,50,50,50,60,50,50,50,50,50,60,50,50,50,70,40,50,100,60,0,0,100,50,50,50
"McCain",NA,70,40,70,85,40,30,85,70,85,70,50,50,70,15,70,15,70,85,70,50,85,70,50,60,15,70,50,70,70,40,70,70,70,70,50,100,0,40,30,100,60,70,30
"McCain","Republican",85,50,60,NA,50,50,85,50,85,50,50,40,50,30,70,40,70,85,40,50,85,85,60,40,50,50,40,50,50,15,50,50,85,50,50,70,50,15,15,85,60,85,15
"Obama","Democrat",0,100,60,60,85,70,50,70,70,70,70,60,70,65,100,60,80,85,70,60,60,100,70,40,50,85,60,85,70,40,70,85,75,60,50,90,0,50,70,50,0,0,40
"McCain","Other",30,50,70,50,50,50,85,50,60,60,40,0,50,40,60,15,70,100,40,NA,85,85,60,40,60,60,0,NA,85,30,60,NA,60,50,50,70,30,60,40,50,40,60,40
"McCain","Republican",50,30,30,50,50,60,60,50,60,60,70,30,60,40,60,30,60,100,50,0,60,100,40,40,50,50,40,50,100,0,0,60,50,0,NA,100,0,0,0,70,50,85,0
"McCain","Republican",70,50,70,NA,70,30,85,50,0,100,0,0,50,50,85,0,85,85,50,85,50,85,15,15,0,50,0,50,85,0,50,50,50,50,50,50,0,15,30,15,50,60,0
"McCain","Republican",100,15,70,70,40,15,85,40,70,85,70,60,100,40,100,60,85,100,85,100,100,100,50,85,40,50,40,85,100,40,50,85,85,0,50,100,0,0,0,100,70,100,30
"McCain","Other",40,70,85,50,60,50,70,50,60,70,85,15,70,15,85,50,100,60,30,70,85,100,85,50,50,60,60,70,70,15,60,60,50,60,50,85,50,15,50,85,70,85,70
"McCain","Other",70,85,85,70,85,85,70,100,40,100,40,60,85,70,70,60,85,85,85,70,70,85,100,50,60,85,60,85,70,60,50,85,85,60,50,85,50,85,70,100,0,70,70
NA,"Democrat",30,100,15,50,100,50,50,85,100,50,50,50,85,50,100,50,100,85,85,50,50,100,100,50,85,85,50,85,100,0,100,85,100,70,50,100,0,85,100,50,NA,30,100
NA,"Other",15,50,50,50,50,NA,50,50,50,50,50,50,50,50,60,60,40,85,50,30,50,70,85,40,50,50,40,50,60,40,50,50,50,40,50,50,50,60,60,40,0,50,50
"McCain","Democrat",30,40,85,100,30,100,85,50,40,100,60,15,100,50,100,30,100,100,50,50,50,100,70,50,50,100,15,100,100,50,100,100,100,50,50,100,50,85,85,70,0,50,40
"McCain","Republican",60,15,70,75,15,5,85,85,90,85,50,25,85,10,85,15,85,95,70,NA,90,85,15,85,5,70,30,85,100,0,85,85,90,15,50,100,0,0,0,100,70,70,0
"Obama","Other",40,85,50,60,70,50,65,50,50,50,60,45,100,100,100,80,100,50,40,50,70,100,100,50,100,50,85,75,85,50,45,85,50,50,50,85,70,85,70,70,50,60,65
NA,"Other",60,85,60,70,70,70,40,30,60,70,60,60,85,60,70,60,100,85,60,100,60,70,40,70,60,40,70,100,100,0,70,100,70,15,30,100,0,70,85,30,40,60,30
"Obama","Democrat",50,100,60,60,85,60,60,100,60,100,50,50,50,50,100,50,100,50,50,50,50,100,85,50,50,50,60,50,50,60,50,50,50,50,50,60,50,60,50,50,NA,0,60
"Obama","Democrat",60,100,40,30,85,85,0,100,70,50,NA,NA,70,50,100,NA,100,85,40,NA,30,100,50,15,70,NA,NA,100,NA,100,50,85,60,60,15,85,0,50,85,70,0,50,70
"Obama","Democrat",0,100,15,15,100,100,0,100,85,100,100,70,85,85,100,85,100,100,50,90,85,100,NA,85,85,85,100,100,85,100,50,85,80,85,70,100,50,85,85,100,NA,15,100
NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,30,0,30,60
NA,"Other",50,100,40,NA,NA,NA,40,60,NA,85,50,85,NA,NA,NA,NA,85,100,60,50,NA,60,NA,70,60,NA,60,50,NA,60,60,60,NA,NA,NA,50,NA,100,85,NA,NA,50,70
"McCain","Democrat",60,0,85,85,85,30,85,NA,NA,NA,50,60,NA,40,70,30,50,100,30,50,50,100,70,60,NA,NA,50,NA,85,50,50,NA,50,NA,NA,NA,30,60,70,NA,0,70,85
NA,"Democrat",15,50,85,70,50,50,85,70,70,85,70,30,85,70,70,85,85,85,50,50,85,70,50,85,70,70,50,70,70,15,50,70,70,70,70,70,70,30,85,NA,25,80,30
"Obama","Other",30,85,60,50,50,50,50,50,50,50,50,40,50,50,60,50,50,60,50,50,50,60,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,70,85,60,50,60,70
"McCain","Republican",50,15,70,50,15,30,85,0,50,50,50,50,50,50,85,30,50,70,40,0,85,85,50,50,0,50,60,50,50,0,50,70,50,0,0,50,50,60,40,70,60,70,40
"McCain","Republican",54,40,55,55,40,40,55,45,51,55,55,20,55,50,55,20,51,55,55,40,53,55,40,55,40,55,15,50,55,15,55,55,55,45,45,55,40,60,50,100,100,85,50
"McCain","Republican",70,30,70,60,40,30,60,60,40,85,60,40,60,50,60,15,60,85,70,60,60,60,60,50,50,70,15,60,60,15,70,60,85,15,50,60,50,20,30,60,50,50,50
"Obama","Other",0,100,60,15,85,60,0,85,30,85,70,40,100,70,100,85,100,100,60,70,100,100,100,60,100,100,0,85,70,0,85,100,100,85,100,100,100,60,40,60,0,15,60
"Obama","Other",50,70,50,50,60,60,40,50,15,60,60,40,50,60,60,50,70,50,30,70,60,70,60,60,60,50,60,50,60,60,50,50,60,50,50,40,60,60,60,30,15,40,50
NA,"Other",85,60,50,NA,70,40,60,50,50,50,30,50,50,40,70,50,70,50,40,70,50,60,40,50,15,50,50,50,50,40,50,50,50,50,50,50,15,50,50,50,50,50,50
"Obama","Other",30,85,60,40,40,50,70,85,40,60,100,40,100,60,100,70,100,100,30,40,85,100,100,50,85,85,40,100,40,50,40,85,60,50,60,50,100,85,100,60,50,50,50
"Obama","Democrat",0,100,40,40,85,70,15,100,70,85,85,85,100,85,100,85,100,100,60,70,60,100,100,100,60,100,85,100,85,60,70,100,85,40,85,100,70,90,100,50,10,10,100
"Obama","Democrat",15,85,30,50,70,70,40,50,50,50,50,60,50,50,60,50,50,50,50,30,50,85,50,60,50,50,60,50,50,30,50,50,40,50,50,50,40,70,70,NA,NA,50,70
"Obama","Democrat",30,85,38,40,90,85,20,75,30,85,85,30,85,85,50,70,85,50,70,60,40,80,85,85,85,85,50,85,40,65,85,85,85,85,60,85,80,60,75,15,10,30,75
"Obama","Democrat",15,85,15,0,85,70,30,70,50,50,40,60,50,50,70,50,85,70,60,60,50,85,70,70,50,85,70,100,50,40,60,50,40,40,50,50,40,85,50,70,0,50,70
NA,"Other",100,0,85,0,0,0,0,100,50,100,100,100,100,0,100,100,100,100,100,100,85,100,100,40,0,100,85,100,100,100,100,100,85,0,0,100,0,0,50,NA,15,30,30
"McCain","Democrat",0,70,60,60,15,60,30,50,70,100,70,30,100,100,85,60,85,85,60,15,60,85,85,70,0,100,60,100,100,0,70,100,30,50,50,100,50,40,0,NA,30,50,70
