year,age,cohort,female,race6,religion,dems,ftwelfare,ftpoor,ftaliens,ftyoung,pid7,trust,ideo7,inerrant,south,dempres
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,0,2,1,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,5,1,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,5,1,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,0,1,3,,,,,,,,,,,
1948,,7,1,2,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,4,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,8,1,2,1,,,,,,,,,,,
1948,,5,1,1,2,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,0,2,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,2,1,,,,,,,,,,,
1948,,6,0,2,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,6,0,,1,,,,,,,,,,,
1948,,6,0,2,1,,,,,,,,,,,
1948,,7,1,1,3,,,,,,,,,,,
1948,,7,0,1,4,,,,,,,,,,,
1948,,5,1,1,2,,,,,,,,,,,
1948,,7,0,1,4,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,8,1,,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,7,0,1,3,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,5,0,1,4,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,2,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,7,1,1,4,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,6,1,2,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,,0,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,4,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,6,0,1,,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,6,1,2,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,8,1,2,1,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,2,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,6,0,1,4,,,,,,,,,,,
1948,,6,0,1,4,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,8,0,1,4,,,,,,,,,,,
1948,,7,1,2,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,,1,1,2,,,,,,,,,,,
1948,,7,1,1,3,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,7,0,2,1,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,,1,1,2,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,0,1,3,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,6,1,,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,7,1,2,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,8,0,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,7,1,1,4,,,,,,,,,,,
1948,,7,0,1,3,,,,,,,,,,,
1948,,7,1,2,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,5,0,1,2,,,,,,,,,,,
1948,,8,0,1,4,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,7,1,1,2,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,0,1,4,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,1,1,3,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,,0,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,6,0,1,2,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,,1,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,5,0,1,4,,,,,,,,,,,
1948,,7,0,2,1,,,,,,,,,,,
1948,,5,0,1,1,,,,,,,,,,,
1948,,8,1,1,4,,,,,,,,,,,
1948,,8,1,1,2,,,,,,,,,,,
1948,,8,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,7,1,,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,8,1,2,1,,,,,,,,,,,
1948,,7,1,2,1,,,,,,,,,,,
1948,,6,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,1,1,1,,,,,,,,,,,
1948,,5,1,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,7,0,2,1,,,,,,,,,,,
1948,,6,0,1,1,,,,,,,,,,,
1948,,5,0,1,1,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,5,1,2,1,,,,,,,,,,,
1948,,6,1,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
1948,,8,1,1,1,,,,,,,,,,,
1948,,7,0,1,2,,,,,,,,,,,
1948,,7,0,1,1,,,,,,,,,,,
